MPG City,MPG Highway,Horsepower,Weight (000 lbs),Torque Foot Pounds,Displacement CI,Fuel Capacity,Seating (Standard),Cylinders,Transmission Speeds,Transmission (Automatic/Manual),Height,Length,Wheelbase,Width,Track (Front),Track (Rear),Base Price MSRP,Weight,Curb Weight AT,Model,Model Year
16,22,275,4.425,275,256,22,5,6,4,A,74.5,191.8,113,74.6,63.1,62.1,27145,4425,4425,2004 Chevrolet TrailBlazer LS 2WD Current,2004
15,21,190,3.611,250,262,18.7,4,6,5,M,65.2,177.3,100.5,67.8,55,54.6,20745,3611,,2004 Chevrolet Blazer 2-Door 2WD LS Current,2004
14,18,285,4.828,295,294,26,6,8,4,A,76.5,196.9,116,78.9,65,66,34200,4828,4828,2004 Chevrolet Tahoe 2WD Current,2004
14,18,295,5.323,330,327,31,9,8,4,A,75.6,219.3,130,78.8,65,66,37050,5323,5323,2004 Chevrolet Suburban 1500 2WD Current,2004
19,26,185,3.699,210,207,20,7,6,4,A,67.4,186.9,112,72,61.5,63.3,21315,3699,3699,2004 Chevrolet Venture Regular Wheelbase Plus Current,2004
16,20,190,4.321,250,262,27,8,6,4,A,75,189.8,111.2,77.5,65.1,65.1,23690,4321,4321,2004 Chevrolet Astro Passenger Van Rear Wheel Drive Current,2004
15,20,200,5.245,250,262,31,8,6,4,A,81.6,224.1,135,79.4,67.8,67.8,25045,5245,5245,2004 Chevrolet Express Passenger Van 1500 Regular Wheelbase Current,2004
22,28,120,2.972,140,134,18,3,4,5,M,62,190,108.3,67.9,54.4,54.6,14770,2972,2990,2003 Chevrolet Truck S-10 Regular Cab Short Box 2WD Current,2003
21,29,150,3.149,162,148,15,5,4,5,M,63,168.8,103,67.1,58.3,58.2,16980,3149,3190,2003 Chrysler PT Cruiser Base Current,2003
21,27,150,3.869,167,148,20,7,4,4,A,68.9,189.1,113.3,78.6,63,64,20750,3869,3869,2003 Chrysler Voyager Base Current,2003
21,28,200,3.201,190,167,16,5,6,4,A,54.9,190.7,108,70.6,60.2,60.2,19850,3201,3201,2004 Chrysler Sebring Sedan LX [Pre August Production] Current,2004
21,29,200,3.479,190,167,17,5,6,4,A,55.9,207.7,113,74.4,61.9,61.6,23480,3479,3479,2004 Chrysler Concorde LX Current,2004
17,22,250,4.482,250,215,23,6,6,4,A,66.5,198.9,116.3,79.3,66,66,30550,4482,4482,2004 Chrysler Pacifica FWD Current,2004
18,27,250,3.581,255,215,17,5,6,4,A,56,197.8,113,74.4,61.9,61.6,29185,3581,3581,2004 Chrysler 300M Sedan Current,2004
18,27,215,3.072,229,195,15.9,2,6,6,M,51.4,159.8,94.5,69.5,58.3,58.2,33620,3072,3084,2004 Chrysler Crossfire Coupe Current,2004
29,36,132,2.608,130,122,12.5,5,4,5,M,56,174.4,105,67.4,58,58,12935,2608,2635,2003 Dodge Neon SE Current,2003
21,29,200,3.469,190,167,17,5,6,4,A,55.9,203.7,113,74.7,62.4,62,21385,3469,3469,2004 Dodge Intrepid SE Current,2004
21,27,150,3.869,167,148,20,7,4,4,A,68.9,189.3,113.3,78.6,63,64,20430,3869,3869,2003 Dodge Caravan SE Current,2003
14,19,235,4.379,295,287,25,5,8,5,A,70.5,193.5,116,71.3,60.9,61.9,26875,4379,4379,2003 Dodge Durango Sport 4X2 Current,2003
15,21,175,3.512,225,239,20,3,6,5,M,64.7,196,111.9,71.6,60.9,61.5,16635,3512,3635,2003 Dodge Truck Dakota Regular Cab 4X2 Base Current,2003
11,16,400,3.064,275,219,25.1,2,8,6,M,47.7,176.3,102.3,75.6,65.7,63.6,143860,3064,,2003 Ferrari 360 Modena Berlinetta Current,2003
10,16,515,3.815,434,351,27.7,2,12,6,M,50.3,179.1,98.4,76.2,64.3,62.4,217890,3815,,2003 Ferrari 575M Maranello Current,2003
10,16,442,3.726,406,334,29.1,4,12,6,M,51.2,187.5,102.4,75.6,62.4,63.2,224585,3726,,2003 Ferrari 456M GT Current,2003
8,12,660,3.009,657,366,29.1,2,12,6,M,45.2,185.1,104.3,80.1,65.4,65,643330,3009,,2003 Ferrari Enzo Coupe Current,2003
26,33,130,2.4895,127,121,12.7,4,4,5,M,52.3,175.2,98.4,67.4,56.5,56.5,13205,2489.5,2501,2003 Ford ZX2 Standard Current,2003
26,34,130,2.551,135,121,13.2,5,4,5,M,56.3,168.1,103,66.9,58.8,58.5,12820,2551,,2003 Ford Focus ZX3 - 100A Current,2003
20,28,155,3.336,186,182,18,6,6,4,A,56.1,197.6,108.5,73,61.6,62.1,19630,3336,3336,2003 Ford Taurus LX Standard Sedan - 100A Current,2003
21,28,170,2.75,145,121,13.2,5,4,6,M,56.3,168.1,103,66.9,58.8,58.5,18590,2750,,2004 Ford SVT Focus 3-Door Current,2004
20,29,190,3.29,220,232,15.7,4,6,5,M,53.1,183.2,101.3,73.1,59.9,60.1,17720,3290,,2004 Ford Mustang Standard Coupe Current,2004
16,22,390,3.665,390,280,15.7,4,8,6,M,52.5,183.5,101.3,73.1,60.3,60.3,33575,3665,,2004 Ford SVT Mustang Cobra Coupe Current,2004
17,25,224,4.057,265,281,19,6,8,4,A,58.3,212,114.7,78.2,63.4,65.6,23620,4057,4057,2004 Ford Crown Victoria Standard Current,2004
17,23,280,3.775,286,240,18,2,8,5,A,52.1,186.3,107.2,72,60.5,60.2,36925,3775,3775,2004 Ford Thunderbird Deluxe Current,2004
17,23,200,4.017,240,232,26,7,6,4,A,66.1,201.5,120.7,76.6,64.3,63,23070,4017,4017,2003 Ford Windstar Wagon Base Current,2003
23,28,127,3.019,135,121,16,5,4,5,M,69.1,173,103.1,70.1,61.2,61,18710,3019,,2004 Ford Escape XLS 4X2 Value Current,2004
15,19,232,5.218,291,281,28,9,8,4,A,77.6,205.8,119,78.7,67,67.3,31940,5218,5218,2004 Ford Expedition XLS 4x2 4.6L Current,2004
14,18,225,5.147,286,281,35,8,8,4,A,80.9,211.9,138,79.3,69.4,67,24520,5147,5147,2004 Ford E-Series Wagon E-150 XL Current,2004
25,32,130,2.612,135,121,13.2,5,4,5,M,56.3,168.1,103,66.9,58.8,58.5,12725,2612,,2004 Ford Focus ZX3 Current,2004
24,29,143,3.1285,153,140,16.5,3,4,5,M,64.9,187.5,111.6,69.4,58.6,57.3,13645,3128.5,3172,2003 Ford Truck Ranger Regular Cab 4x2 112-in. WB XL Styleside - 411A Current,2003
16,22,275,4.432,275,256,22,5,6,4,A,71.9,191.6,113,74.7,63.1,62.1,28845,4432,4432,2004 GMC Envoy SLE 2WD Current,2004
14,18,285,5.037,295,294,26,6,8,4,A,76.7,198.9,116,78.9,65,66,34910,5037,5037,2004 GMC Yukon 2WD Current,2004
16,20,190,4.321,250,262,27,8,6,4,A,75,189.8,111.2,77.5,65.1,65.1,23690,4321,4321,2004 GMC Safari Passenger Van Rear Wheel Drive Current,2004
