year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,12,OO,SkyWest Airlines Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",372.00,75.00,60.00,9.00,0.00,1.00,5.00,10.00,1.00,6507.00,5127.00,792.00,0.00,65.00,523.00
2021,12,OO,SkyWest Airlines Inc.,GSP,"Greer, SC: Greenville-Spartanburg International",99.00,22.00,18.00,0.00,0.00,0.00,4.00,0.00,0.00,1166.00,900.00,0.00,0.00,0.00,266.00
2021,12,OO,SkyWest Airlines Inc.,GTF,"Great Falls, MT: Great Falls International",124.00,18.00,14.00,4.00,0.00,0.00,0.00,5.00,1.00,1150.00,970.00,180.00,0.00,0.00,0.00
2021,12,OO,SkyWest Airlines Inc.,GUC,"Gunnison, CO: Gunnison-Crested Butte Regional",68.00,18.00,16.00,1.00,0.00,0.00,1.00,7.00,0.00,1914.00,1728.00,54.00,0.00,0.00,132.00
2021,12,OO,SkyWest Airlines Inc.,HDN,"Hayden, CO: Yampa Valley",85.00,15.00,11.00,1.00,0.00,0.00,3.00,6.00,0.00,859.00,592.00,72.00,0.00,0.00,195.00
2021,12,OO,SkyWest Airlines Inc.,HIB,"Hibbing, MN: Range Regional",54.00,7.00,2.00,5.00,0.00,0.00,0.00,7.00,0.00,817.00,58.00,759.00,0.00,0.00,0.00
2021,12,OO,SkyWest Airlines Inc.,HLN,"Helena, MT: Helena Regional",60.00,13.00,7.00,5.00,1.00,0.00,0.00,1.00,0.00,1949.00,841.00,1085.00,23.00,0.00,0.00
2021,12,OO,SkyWest Airlines Inc.,HOB,"Hobbs, NM: Lea County Regional",73.00,10.00,8.00,0.00,0.00,0.00,2.00,0.00,1.00,780.00,626.00,0.00,0.00,0.00,154.00
2021,12,OO,SkyWest Airlines Inc.,HPN,"White Plains, NY: Westchester County",105.00,16.00,7.00,2.00,0.00,0.00,7.00,2.00,0.00,1585.00,611.00,246.00,0.00,0.00,728.00
2021,12,OO,SkyWest Airlines Inc.,HRL,"Harlingen/San Benito, TX: Valley International",60.00,8.00,1.00,0.00,0.00,0.00,7.00,1.00,0.00,462.00,54.00,0.00,0.00,0.00,408.00
2021,12,OO,SkyWest Airlines Inc.,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",87.00,19.00,13.00,0.00,0.00,0.00,6.00,1.00,0.00,1063.00,521.00,0.00,0.00,0.00,542.00
2021,12,OO,SkyWest Airlines Inc.,HYS,"Hays, KS: Hays Regional",54.00,13.00,10.00,2.00,0.00,0.00,1.00,3.00,0.00,1451.00,1227.00,170.00,0.00,0.00,54.00
2021,12,OO,SkyWest Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",438.00,107.00,80.00,17.00,0.00,1.00,9.00,19.00,0.00,11698.00,8668.00,1817.00,0.00,35.00,1178.00
2021,12,OO,SkyWest Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",1916.00,346.00,273.00,20.00,3.00,0.00,50.00,55.00,5.00,30348.00,24736.00,1554.00,284.00,0.00,3774.00
2021,12,OO,SkyWest Airlines Inc.,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",288.00,48.00,29.00,0.00,0.00,0.00,19.00,7.00,1.00,2887.00,1577.00,0.00,0.00,0.00,1310.00
2021,12,OO,SkyWest Airlines Inc.,IDA,"Idaho Falls, ID: Idaho Falls Regional",308.00,78.00,48.00,12.00,0.00,0.00,18.00,12.00,2.00,6139.00,2276.00,1865.00,0.00,0.00,1998.00
2021,12,OO,SkyWest Airlines Inc.,IMT,"Iron Mountain/Kingsfd, MI: Ford",62.00,15.00,10.00,5.00,0.00,0.00,0.00,4.00,2.00,977.00,537.00,440.00,0.00,0.00,0.00
2021,12,OO,SkyWest Airlines Inc.,IND,"Indianapolis, IN: Indianapolis International",149.00,28.00,21.00,4.00,0.00,0.00,3.00,3.00,0.00,1411.00,1065.00,156.00,0.00,0.00,190.00
2021,12,OO,SkyWest Airlines Inc.,INL,"International Falls, MN: Falls International Einarson Field",54.00,7.00,5.00,2.00,0.00,0.00,0.00,11.00,1.00,398.00,307.00,91.00,0.00,0.00,0.00
2021,12,OO,SkyWest Airlines Inc.,JAC,"Jackson, WY: Jackson Hole",151.00,45.00,28.00,6.00,3.00,0.00,8.00,21.00,7.00,3837.00,2342.00,781.00,250.00,0.00,464.00
2021,12,OO,SkyWest Airlines Inc.,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",15.00,3.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00,199.00,45.00,0.00,0.00,0.00,154.00
2021,12,OO,SkyWest Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",43.00,3.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,178.00,92.00,0.00,0.00,0.00,86.00
2021,12,OO,SkyWest Airlines Inc.,JLN,"Joplin, MO: Joplin Regional",62.00,6.00,5.00,0.00,0.00,0.00,1.00,2.00,1.00,530.00,415.00,0.00,0.00,0.00,115.00
2021,12,OO,SkyWest Airlines Inc.,JMS,"Jamestown, ND: Jamestown Regional",93.00,14.00,12.00,1.00,0.00,0.00,1.00,12.00,1.00,2118.00,1551.00,445.00,0.00,0.00,122.00
2021,12,OO,SkyWest Airlines Inc.,JST,"Johnstown, PA: John Murtha Johnstown-Cambria County",62.00,2.00,2.00,0.00,0.00,0.00,0.00,3.00,3.00,132.00,132.00,0.00,0.00,0.00,0.00
2021,12,OO,SkyWest Airlines Inc.,LAN,"Lansing, MI: Capital Region International",27.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,65.00,0.00,0.00,0.00,0.00,65.00
2021,12,OO,SkyWest Airlines Inc.,LAR,"Laramie, WY: Laramie Regional",54.00,6.00,6.00,0.00,0.00,0.00,0.00,6.00,0.00,345.00,345.00,0.00,0.00,0.00,0.00
